step,layer_idx,g_task_abs_mean,g_penalty_abs_mean,penalty_to_task_ratio,sqrt_v_hat_mean,update_abs_mean,lambda,flops_fraction,violation
300,57,1.931e-06,2.065e-05,1.069e+01,1.059e-05,9.789e-04,1.2840,0.5650,0.0650
300,61,1.598e-05,2.040e-05,1.277e+00,1.766e-05,7.068e-04,1.2840,0.5650,0.0650
300,62,3.424e-05,2.009e-05,5.867e-01,2.929e-05,3.981e-04,1.2840,0.5650,0.0650
300,66,7.878e-06,2.056e-05,2.610e+00,1.234e-05,8.755e-04,1.2840,0.5650,0.0650
300,67,1.535e-05,2.039e-05,1.328e+00,1.622e-05,6.842e-04,1.2840,0.5650,0.0650
300,71,9.576e-06,2.055e-05,2.146e+00,1.251e-05,8.607e-04,1.2840,0.5650,0.0650
300,72,2.148e-05,2.037e-05,9.486e-01,1.672e-05,6.410e-04,1.2840,0.5650,0.0650
300,90,2.786e-05,2.031e-05,7.291e-01,2.204e-05,6.374e-04,1.2840,0.5650,0.0650
300,91,5.984e-05,1.998e-05,3.340e-01,3.985e-05,3.582e-04,1.2840,0.5650,0.0650
300,95,3.886e-06,2.063e-05,5.309e+00,1.085e-05,9.547e-04,1.2840,0.5650,0.0650
300,96,7.800e-06,2.057e-05,2.638e+00,1.178e-05,8.717e-04,1.2840,0.5650,0.0650
300,100,8.931e-07,2.066e-05,2.314e+01,1.042e-05,9.973e-04,1.2840,0.5650,0.0650
300,101,1.556e-06,2.066e-05,1.328e+01,1.042e-05,9.968e-04,1.2840,0.5650,0.0650
300,105,3.958e-06,2.064e-05,5.213e+00,1.085e-05,9.620e-04,1.2840,0.5650,0.0650
300,106,1.000e-05,2.057e-05,2.056e+00,1.189e-05,8.737e-04,1.2840,0.5650,0.0650
300,124,5.834e-06,2.063e-05,3.536e+00,1.096e-05,9.593e-04,1.2840,0.5650,0.0650
300,125,1.068e-05,2.057e-05,1.927e+00,1.196e-05,8.923e-04,1.2840,0.5650,0.0650
300,129,1.350e-05,2.050e-05,1.518e+00,1.434e-05,7.994e-04,1.2840,0.5650,0.0650
300,130,3.109e-05,2.023e-05,6.508e-01,2.176e-05,5.149e-04,1.2840,0.5650,0.0650
300,134,1.722e-05,2.043e-05,1.187e+00,1.731e-05,7.309e-04,1.2840,0.5650,0.0650
300,135,4.351e-05,2.010e-05,4.621e-01,3.169e-05,4.080e-04,1.2840,0.5650,0.0650
300,139,2.599e-06,2.065e-05,7.943e+00,1.072e-05,9.726e-04,1.2840,0.5650,0.0650
300,140,5.861e-06,2.061e-05,3.516e+00,1.133e-05,9.293e-04,1.2840,0.5650,0.0650
400,22,7.814e-07,2.172e-05,2.780e+01,1.088e-05,1.006e-03,1.3387,0.5443,0.0443
400,23,1.816e-06,2.171e-05,1.196e+01,1.093e-05,9.932e-04,1.3387,0.5443,0.0443
400,27,1.380e-05,2.148e-05,1.557e+00,1.634e-05,7.721e-04,1.3387,0.5443,0.0443
400,28,3.331e-05,2.110e-05,6.335e-01,2.810e-05,4.709e-04,1.3387,0.5443,0.0443
400,32,1.375e-06,2.172e-05,1.579e+01,1.096e-05,1.001e-03,1.3387,0.5443,0.0443
400,33,3.182e-06,2.170e-05,6.821e+00,1.115e-05,9.833e-04,1.3387,0.5443,0.0443
400,37,1.717e-05,2.146e-05,1.250e+00,1.746e-05,7.369e-04,1.3387,0.5443,0.0443
400,38,4.045e-05,2.106e-05,5.207e-01,3.124e-05,4.276e-04,1.3387,0.5443,0.0443
400,56,1.104e-06,2.172e-05,1.967e+01,1.093e-05,1.005e-03,1.3387,0.5443,0.0443
400,57,2.407e-06,2.171e-05,9.019e+00,1.106e-05,9.927e-04,1.3387,0.5443,0.0443
400,61,1.785e-05,2.145e-05,1.201e+00,1.815e-05,7.262e-04,1.3387,0.5443,0.0443
400,62,3.689e-05,2.107e-05,5.713e-01,2.982e-05,4.158e-04,1.3387,0.5443,0.0443
400,66,8.215e-06,2.162e-05,2.632e+00,1.282e-05,8.921e-04,1.3387,0.5443,0.0443
400,67,1.499e-05,2.144e-05,1.431e+00,1.675e-05,6.842e-04,1.3387,0.5443,0.0443
400,71,6.671e-06,2.161e-05,3.240e+00,1.300e-05,8.719e-04,1.3387,0.5443,0.0443
400,72,1.343e-05,2.142e-05,1.595e+00,1.736e-05,6.508e-04,1.3387,0.5443,0.0443
400,90,2.589e-05,2.134e-05,8.244e-01,2.265e-05,6.334e-04,1.3387,0.5443,0.0443
400,91,4.832e-05,2.094e-05,4.333e-01,4.046e-05,3.424e-04,1.3387,0.5443,0.0443
400,95,2.801e-06,2.169e-05,7.746e+00,1.132e-05,9.713e-04,1.3387,0.5443,0.0443
400,96,5.934e-06,2.164e-05,3.647e+00,1.225e-05,8.829e-04,1.3387,0.5443,0.0443
400,100,2.601e-07,2.172e-05,8.350e+01,1.088e-05,1.010e-03,1.3387,0.5443,0.0443
400,101,7.014e-07,2.172e-05,3.097e+01,1.088e-05,1.008e-03,1.3387,0.5443,0.0443
400,105,2.936e-06,2.170e-05,7.390e+00,1.131e-05,9.735e-04,1.3387,0.5443,0.0443
400,106,6.317e-06,2.163e-05,3.425e+00,1.238e-05,8.854e-04,1.3387,0.5443,0.0443
400,124,3.861e-06,2.169e-05,5.619e+00,1.143e-05,9.651e-04,1.3387,0.5443,0.0443
400,125,7.750e-06,2.164e-05,2.792e+00,1.248e-05,8.855e-04,1.3387,0.5443,0.0443
400,129,1.200e-05,2.156e-05,1.797e+00,1.481e-05,8.201e-04,1.3387,0.5443,0.0443
400,130,2.438e-05,2.126e-05,8.723e-01,2.239e-05,5.458e-04,1.3387,0.5443,0.0443
400,134,1.569e-05,2.148e-05,1.369e+00,1.784e-05,7.532e-04,1.3387,0.5443,0.0443
400,135,3.985e-05,2.109e-05,5.293e-01,3.227e-05,4.087e-04,1.3387,0.5443,0.0443
400,139,9.374e-07,2.170e-05,2.315e+01,1.114e-05,9.849e-04,1.3387,0.5443,0.0443
400,140,2.094e-06,2.168e-05,1.035e+01,1.170e-05,9.401e-04,1.3387,0.5443,0.0443
500,22,8.814e-07,2.234e-05,2.535e+01,1.128e-05,9.850e-04,1.3726,0.5233,0.0233
500,23,1.793e-06,2.234e-05,1.246e+01,1.133e-05,9.769e-04,1.3726,0.5233,0.0233
500,27,1.864e-05,2.214e-05,1.188e+00,1.681e-05,7.498e-04,1.3726,0.5233,0.0233
500,28,3.884e-05,2.175e-05,5.601e-01,2.869e-05,4.383e-04,1.3726,0.5233,0.0233
500,32,1.443e-06,2.234e-05,1.548e+01,1.135e-05,9.801e-04,1.3726,0.5233,0.0233
500,33,3.430e-06,2.234e-05,6.511e+00,1.153e-05,9.625e-04,1.3726,0.5233,0.0233
500,37,1.449e-05,2.212e-05,1.527e+00,1.791e-05,7.260e-04,1.3726,0.5233,0.0233
500,38,3.449e-05,2.170e-05,6.292e-01,3.217e-05,4.473e-04,1.3726,0.5233,0.0233
500,56,1.039e-06,2.234e-05,2.151e+01,1.132e-05,9.832e-04,1.3726,0.5233,0.0233
500,57,2.459e-06,2.234e-05,9.084e+00,1.145e-05,9.747e-04,1.3726,0.5233,0.0233
500,61,2.150e-05,2.211e-05,1.028e+00,1.858e-05,7.195e-04,1.3726,0.5233,0.0233
